forward_joules,forward_energy_mean,forward_time,forward_nvidia_time_mean,forward_memory,forward_nvidia_memory_mean,forward_flops,forward_backward_joules,forward_backward_energy_mean,forward_backward_time,forward_backward_nvidia_time_mean,forward_backward_memory,forward_backward_nvidia_memory_mean,forward_backward_flops,forward_backward_optimizer_joules,forward_backward_optimizer_energy_mean,forward_backward_optimizer_time,forward_backward_optimizer_nvidia_time_mean,forward_backward_optimizer_memory,forward_backward_optimizer_nvidia_memory_mean,forward_backward_optimizer_flops,num_trainable_parameters,model_name,input_length,batch_size,repetition,rank
1085.17994,1085.17994,3.629,3.629,3499.0,3499.0,3523630608384.0,2741.06799,2741.06799,9.885,9.885,8049.0,8049.0,7629694840832.0,2977.04966,2977.04966,11.494,11.494,8625.0,8625.0,7629694840832.0,75497472,FacebookAI/roberta-large,256,16,0,384
1115.03312,1115.03312,3.768,3.768,3499.0,3499.0,3626709823488.0,2873.16546,2873.16546,11.48,11.48,8069.0,8069.0,7937321873408.0,3079.11413,3079.11413,12.234,12.234,8645.0,8645.0,7937321873408.0,88080384,FacebookAI/roberta-large,256,16,0,448
1121.87996,1121.87996,3.815,3.815,3499.0,3499.0,3729789038592.0,2875.24339,2875.24339,11.498,11.498,8883.0,8883.0,8244948905984.0,3167.5472600000003,3167.5472600000003,12.8,12.8,9453.0,9453.0,8244948905984.0,100663296,FacebookAI/roberta-large,256,16,0,512
2012.03947,2012.03947,5.45,5.45,7027.0,7027.0,7593617740800.0,6208.6274300000005,6208.6274300000005,16.538,16.538,16971.0,16971.0,22781241486336.0,7122.81963,7122.81963,19.995,19.995,19979.0,19979.0,22781241486336.0,1235814400,meta-llama/Llama-3.2-1B,256,12,0,-1
2345.01475,2345.01475,6.733,6.733,7085.0,7085.0,7600261518336.0,5425.39452,5425.39452,16.303,16.303,15115.0,15115.0,15165875966976.0,5540.6241,5540.6241,16.274,16.274,15115.0,15115.0,15165875966976.0,704512,meta-llama/Llama-3.2-1B,256,12,0,1
2353.2828,2353.2828,6.831,6.831,7087.0,7087.0,7604590040064.0,5493.9482800000005,5493.9482800000005,16.839,16.839,15117.0,15117.0,15178823783424.0,5628.72609,5628.72609,16.778,16.778,15121.0,15121.0,15178823783424.0,1409024,meta-llama/Llama-3.2-1B,256,12,0,2
2350.02319,2350.02319,6.826,6.826,7091.0,7091.0,7613247083520.0,5538.18774,5538.18774,16.851,16.851,15125.0,15125.0,15204719416320.0,5594.56844,5594.56844,16.815,16.815,15131.0,15131.0,15204719416320.0,2818048,meta-llama/Llama-3.2-1B,256,12,0,4
2352.86725,2352.86725,6.753,6.753,7093.0,7093.0,7630561170432.0,5467.8094,5467.8094,16.551,16.551,15139.0,15139.0,15256510682112.0,5535.0829300000005,5535.0829300000005,16.603,16.603,15159.0,15159.0,15256510682112.0,5636096,meta-llama/Llama-3.2-1B,256,12,0,8
2335.15276,2335.15276,6.731,6.731,7105.0,7105.0,7665189344256.0,5504.96043,5504.96043,16.567,16.567,15167.0,15167.0,15360093213696.0,5639.6299,5639.6299,16.718,16.718,15213.0,15213.0,15360093213696.0,11272192,meta-llama/Llama-3.2-1B,256,12,0,16
2263.39901,2263.39901,6.742,6.742,7125.0,7125.0,7734445691904.0,5407.94888,5407.94888,16.218,16.218,15223.0,15223.0,15567258276864.0,5515.96474,5515.96474,16.398,16.398,15321.0,15321.0,15567258276864.0,22544384,meta-llama/Llama-3.2-1B,256,12,0,32
2360.77016,2360.77016,6.797,6.797,7169.0,7169.0,7872958387200.0,5450.4516300000005,5450.4516300000005,16.523,16.523,15333.0,15333.0,15981588403200.0,5626.86828,5626.86828,16.582,16.582,15539.0,15539.0,15981588403200.0,45088768,meta-llama/Llama-3.2-1B,256,12,0,64
2412.60189,2412.60189,6.942,6.942,7251.0,7251.0,8149983777792.0,5585.88096,5585.88096,16.734,16.734,16979.0,16979.0,16810248655872.0,5860.95245,5860.95245,17.017,17.017,17093.0,17093.0,16810248655872.0,90177536,meta-llama/Llama-3.2-1B,256,12,0,128
2442.89572,2442.89572,6.947,6.947,7385.0,7385.0,8427009168384.0,5733.04541,5733.04541,16.916,16.916,17177.0,17177.0,17638908908544.0,6078.26981,6078.26981,17.308,17.308,17607.0,17607.0,17638908908544.0,135266304,meta-llama/Llama-3.2-1B,256,12,0,192
2476.9447800000003,2476.9447800000003,7.073,7.073,7415.0,7415.0,8704034558976.0,5842.25349,5842.25349,17.205,17.205,17265.0,17265.0,18467569161216.0,6167.36459,6167.36459,17.753,17.753,17713.0,17713.0,18467569161216.0,180355072,meta-llama/Llama-3.2-1B,256,12,0,256
2542.89379,2542.89379,7.179,7.179,7521.0,7521.0,8981059949568.0,6037.45136,6037.45136,17.497,17.497,17317.0,17317.0,19296229413888.0,6418.9178600000005,6418.9178600000005,18.212,18.212,17343.0,17343.0,19296229413888.0,225443840,meta-llama/Llama-3.2-1B,256,12,0,320
2606.44288,2606.44288,7.209,7.209,7595.0,7595.0,9258085340160.0,6105.8467900000005,6105.8467900000005,17.694,17.694,17449.0,17449.0,20124889666560.0,6597.22246,6597.22246,18.539,18.539,17481.0,17481.0,20124889666560.0,270532608,meta-llama/Llama-3.2-1B,256,12,0,384
2607.52346,2607.52346,7.325,7.325,7727.0,7727.0,9535110730752.0,6325.0074,6325.0074,18.412,18.412,17605.0,17605.0,20953549919232.0,6849.37047,6849.37047,19.386,19.386,17645.0,17645.0,20953549919232.0,315621376,meta-llama/Llama-3.2-1B,256,12,0,448
2638.43882,2638.43882,7.382,7.382,7755.0,7755.0,9812136121344.0,6417.83338,6417.83338,18.558,18.558,17669.0,17669.0,21782210171904.0,6981.8345500000005,6981.8345500000005,19.584,19.584,17711.0,17711.0,21782210171904.0,360710144,meta-llama/Llama-3.2-1B,256,12,0,512
658.31612,658.31612,1.995,1.995,2781.0,2781.0,2178262508544.0,2700.02828,2700.02828,9.989,9.989,7029.0,7029.0,6534530697216.0,2536.66899,2536.66899,10.057,10.057,7619.0,7619.0,6534530697216.0,355412057,FacebookAI/roberta-large,256,12,0,-1
737.96509,737.96509,2.588,2.588,2783.0,2783.0,2180074447872.0,1945.12995,1945.12995,9.562,9.562,6459.0,6459.0,4341554488320.0,2148.873,2148.873,11.505,11.505,6459.0,6459.0,4341554488320.0,196608,FacebookAI/roberta-large,256,12,0,1
722.33169,722.33169,2.555,2.555,2783.0,2783.0,2181282407424.0,2142.3735500000003,2142.3735500000003,11.001,11.001,6461.0,6461.0,4345159492608.0,2140.56223,2140.56223,11.365,11.365,6461.0,6461.0,4345159492608.0,393216,FacebookAI/roberta-large,256,12,0,2
750.48106,750.48106,2.629,2.629,2783.0,2783.0,2183698326528.0,2128.68931,2128.68931,11.205,11.205,6463.0,6463.0,4352369501184.0,2123.36815,2123.36815,11.286,11.286,6465.0,6465.0,4352369501184.0,786432,FacebookAI/roberta-large,256,12,0,4
735.97427,735.97427,2.55,2.55,2785.0,2785.0,2188530164736.0,2058.24966,2058.24966,10.417,10.417,6467.0,6467.0,4366789518336.0,2109.68442,2109.68442,10.758,10.758,6471.0,6471.0,4366789518336.0,1572864,FacebookAI/roberta-large,256,12,0,8
750.10203,750.10203,2.56,2.56,2787.0,2787.0,2198193841152.0,2079.47402,2079.47402,10.828,10.828,6479.0,6479.0,4395629552640.0,2144.76339,2144.76339,10.982,10.982,6485.0,6485.0,4395629552640.0,3145728,FacebookAI/roberta-large,256,12,0,16
740.38763,740.38763,2.544,2.544,2793.0,2793.0,2217521193984.0,2084.8217600000003,2084.8217600000003,10.785,10.785,6499.0,6499.0,4453309621248.0,2154.1354,2154.1354,11.381,11.381,6513.0,6513.0,4453309621248.0,6291456,FacebookAI/roberta-large,256,12,0,32
