forward_joules,forward_time,forward_flops,forward_backward_optimizer_joules,forward_backward_optimizer_time,forward_backward_optimizer_flops,forward_backward_joules,forward_backward_time,forward_backward_flops,num_trainable_parameters,model_name,input_length,batch_size,rank,rep
504.09088,2.136,,1552.42378,8.188,,1337.65516,8.89,,100663296,FacebookAI/roberta-large,256,8,512,1
477.16864,2.14,,1317.98435,6.779,,1546.02169,8.484,,50331648,FacebookAI/roberta-large,256,8,256,1
469.31464,2.141,,1232.48541,6.514,,1170.12761,5.864,,25165824,FacebookAI/roberta-large,256,8,128,1
459.95471,2.137,,1348.97137,8.564,,1225.371,6.793,,12582912,FacebookAI/roberta-large,256,8,64,1
448.74238,2.14,,1390.63931,8.78,,1317.17315,8.127,,6291456,FacebookAI/roberta-large,256,8,32,1
456.02541,2.111,,1278.96172,7.589,,1375.40009,8.939,,3145728,FacebookAI/roberta-large,256,8,16,1
455.62884,2.166,,1199.14476,7.334,,1238.52408,6.938,,1572864,FacebookAI/roberta-large,256,8,8,1
468.4691,2.226,,1374.9594,8.508,,1378.22717,8.843,,786432,FacebookAI/roberta-large,256,8,4,1
461.90663,2.228,,1255.14423,8.887,,1353.88101,8.183,,393216,FacebookAI/roberta-large,256,8,2,1
460.84906,2.122,,1301.85615,8.2,,1240.84065,8.043,,196608,FacebookAI/roberta-large,256,8,1,1
222.86803,1.205,,1118.91434,6.879,,760.41105,4.291,,355412057,FacebookAI/roberta-large,256,4,-1,1
329.66438,1.945,,1145.08872,7.245,,1015.00751,6.979,,201326592,FacebookAI/roberta-large,256,4,1024,1
317.99308,1.932,,1073.45446,8.257,,1003.33899,8.16,,100663296,FacebookAI/roberta-large,256,4,512,1
307.89091,1.968,,856.9122,8.261,,898.03734,7.021,,50331648,FacebookAI/roberta-large,256,4,256,1
294.19932,1.95,,757.98849,8.267,,776.21161,8.675,,25165824,FacebookAI/roberta-large,256,4,128,1
290.44809,1.937,,732.20948,8.285,,853.98463,7.775,,12582912,FacebookAI/roberta-large,256,4,64,1
299.89901,2.03,,769.97288,8.492,,836.47986,5.911,,6291456,FacebookAI/roberta-large,256,4,32,1
300.36492,2.027,,749.98634,8.391,,756.59652,8.545,,3145728,FacebookAI/roberta-large,256,4,16,1
294.59092,1.971,,795.6429,7.484,,812.51839,8.471,,1572864,FacebookAI/roberta-large,256,4,8,1
300.57354,2.038,,776.34691,9.038,,767.8232,8.522,,786432,FacebookAI/roberta-large,256,4,4,1
308.03133,2.069,,833.32221,6.265,,886.62871,7.118,,393216,FacebookAI/roberta-large,256,4,2,1
293.66598,1.971,,715.3027,8.376,,763.47662,9.131,,196608,FacebookAI/roberta-large,256,4,1,1
2376.89299,6.531,,8019.29068,22.562,,7155.31885,19.363,,1235814400,meta-llama/Llama-3.2-1B,256,16,-1,2
3557.47509,10.242,,10036.25323,27.777,,8689.6486,25.91,,721420288,meta-llama/Llama-3.2-1B,256,16,1024,2
3133.41751,8.95,,8117.90492,23.136,,7462.36752,22.185,,360710144,meta-llama/Llama-3.2-1B,256,16,512,2
2914.84566,8.432,,7263.00456,20.873,,6820.49719,20.412,,180355072,meta-llama/Llama-3.2-1B,256,16,256,2
2835.23037,8.285,,6860.65483,20.095,,6581.35265,19.849,,90177536,meta-llama/Llama-3.2-1B,256,16,128,2
2809.44217,8.127,,6617.78328,19.578,,6445.77235,19.484,,45088768,meta-llama/Llama-3.2-1B,256,16,64,2
2771.85695,8.064,,6579.95169,19.412,,6411.70488,19.279,,22544384,meta-llama/Llama-3.2-1B,256,16,32,2
2741.39946,8.046,,6580.92971,19.55,,6466.73172,19.533,,11272192,meta-llama/Llama-3.2-1B,256,16,16,2
2765.26921,8.062,,6599.89077,19.499,,6415.23014,19.413,,5636096,meta-llama/Llama-3.2-1B,256,16,8,2
2786.78195,8.199,,6665.64662,19.821,,6515.85719,19.792,,2818048,meta-llama/Llama-3.2-1B,256,16,4,2
