flops,count,self_device_time_total,self_cpu_time_total,device_time_total,cpu_time_total,self_device_memory_usage,self_cpu_memory_usage,device_memory_usage,cpu_memory_usage,name,is_annotation,device,record_step,self_cpu_time_total_percentage,cpu_time_total_percentage
0,1,0,18.907000000000153,0,35.526000000000295,0,0,0,2048,aten::ones,False,CPU,vera,0.43530183452084115,0.3565448092200271
0,1,0,8.25,0,8.25,0,2048,0,2048,aten::empty,False,CPU,vera,0.1899423565238753,0.08279836390432921
0,1,0,8.369000000000142,0,8.369000000000142,0,0,0,0,aten::fill_,False,CPU,vera,0.19268213112101082,0.08399266757761731
0,1,0,8.326000000000477,0,15.719000000000051,0,0,0,32,aten::ones,False,CPU,vera,0.19169212853550016,0.15775848269238243
0,1,0,4.951999999999771,0,4.951999999999771,0,32,0,32,aten::empty,False,CPU,vera,0.1140114605462045,0.049699090673238695
0,1,0,2.4409999999998035,0,2.4409999999998035,0,0,0,0,aten::fill_,False,CPU,vera,0.05619991421512028,0.024498279550357736
0,1,0,8.390999999999622,0,15.096000000000004,0,0,0,2048,aten::ones,False,CPU,vera,0.1931886440717292,0.15150595169693987
0,1,0,4.128000000000156,0,4.128000000000156,0,2048,0,2048,aten::empty,False,CPU,vera,0.09504024820976811,0.04142929044813138
0,1,0,2.5770000000002256,0,2.5770000000002256,0,0,0,0,aten::fill_,False,CPU,vera,0.05933108518328115,0.025863198034118188
0,1,0,8.883000000000266,0,14.869000000000142,0,0,0,32,aten::ones,False,CPU,vera,0.20451611551534965,0.149227742168907
0,1,0,3.5549999999998363,0,3.5549999999998363,0,32,0,32,aten::empty,False,CPU,vera,0.08184788817482977,0.035678567718772945
0,1,0,2.43100000000004,0,2.43100000000004,0,0,0,0,aten::fill_,False,CPU,vera,0.055969681055702845,0.02439791789714274
0,1,0,13.5949999999998,0,173.76099999999997,0,0,0,20480,aten::matmul,False,CPU,vera,0.3130019802353996,1.7438941224703204
5242880,1,0,158.8140000000003,0,160.16600000000017,0,20480,0,20480,aten::mm,False,CPU,vera,3.6564248980585203,1.6074524549213098
0,1,0,0.625,0,0.625,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.014389572463929946,0.0062726033260855464
0,1,0,0.30999999999994543,0,0.30999999999994543,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.007137227942107998,0.003111211249737883
0,1,0,0.4169999999999163,0,0.4169999999999163,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.009600722747932134,0.004185080939163436
0,1,0,12.576000000000022,0,42.97699999999986,0,0,0,320,aten::matmul,False,CPU,vera,0.2895412212902133,0.4313242770322842
81920,1,0,29.40000000000009,0,30.40099999999984,0,320,0,320,aten::mm,False,CPU,vera,0.6768854887032668,0.3051094619461211
0,1,0,0.43099999999958527,0,0.43099999999958527,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.009923049171116543,0.00432558725366443
0,1,0,0.25700000000006185,0,0.25700000000006185,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.005916992197169418,0.002579294487686997
0,1,0,0.31300000000010186,0,0.31300000000010186,0,0,0,0,aten::resolve_conj,False,CPU,vera,0.007206297889938462,0.003141319745704664
0,1,0,21.08699999999999,0,55.13000000000011,0,0,0,0,aten::numpy_T,False,CPU,vera,0.48549266327502505,0.5532937941873549
0,1,0,24.69399999999996,0,34.04300000000012,0,0,0,0,aten::permute,False,CPU,vera,0.5685377638788569,0.3416611760478896
0,1,0,9.34900000000016,0,9.34900000000016,0,0,0,0,aten::as_strided,False,CPU,vera,0.21524498074445342,0.09382810959291964
8,1,0,29.809000000000196,0,29.809000000000196,0,320,0,320,aten::mul,False,CPU,vera,0.686302024923665,0.29916805207565644
